Python-разработка|Основы языка Python|GeekBrains|||17 зан.|https://gb.ru/courses/950|Видеозанятия в записи
Python-разработка|Python для непрограммистов|SkillFactory|||1 зан.|https://skillfactory.ru/micro_python|Онлайн-вебинары
Python-разработка|Напишите свой первый код на Python|SF Education|||3 зан.|https://sf.education/pythonfree|Видеозанятия в записи
Python-разработка|Minecraft: программирование на языке Python|GeekBrains|||1 зан.|https://gb.ru/courses/1900|Видеозанятия в записи
Python-разработка|Python — вредные советы|GeekBrains|||1 зан.|https://gb.ru/courses/2735|Онлайн-вебинары
JavaScript-разработка|JavaScript|Skillbox|41300|2021-06-16|6 мес.|https://skillbox.ru/course/javascript/
JavaScript-разработка|Backend-разработка на Node.js|Нетология|24750||4 мес.|https://netology.ru/programs/nodejs
JavaScript-разработка|Факультет Fullstack JavaScript|GeekBrains|135000|2021-06-14|15 мес.|https://gb.ru/geek_university/fullstack-javascript
JavaScript-разработка|JavaScript: Новый Уровень|WayUp|46031|2021-08-17|4 мес.|https://wayup.in/library/course14
JavaScript-разработка|React-разработчик|HTML Academy|119000|2021-08-24|14 мес.|https://htmlacademy.ru/profession/react
JavaScript-разработка|Vue.js Продвинутая веб-разработка|LoftSchool|33800|2021-06-14|1.5 мес.|https://loftschool.com/course/web-development/
JavaScript-разработка|Профессия Fullstack-разработчик на JavaScript|Skillbox|145440|2021-06-16|12 мес.|https://skillbox.ru/course/profession-fullstack-js/
JavaScript-разработка|React: библиотека фронтенд-разработки №1|Нетология|14630|2021-06-30|2 мес.|https://netology.ru/programs/react/
JavaScript-разработка|JavaScript. Уровень 1 Интерактивные веб-приложения|GeekBrains|15000|2021-06-15|1 мес.|https://gb.ru/courses/6
JavaScript-разработка|JavaScript. Архитектура клиентских приложений|HTML Academy|25900|2021-07-26|2 мес.|https://htmlacademy.ru/intensive/ecmascript
JavaScript-разработка|Комплексное обучение JavaScript|LoftSchool|33800|2021-06-14|1.5 мес.|https://loftschool.com/course/javascript/
JavaScript-разработка|Автоматизированное тестирование веб-приложений на JavaScript|Skillbox|55300|2021-06-16|12 мес.|https://skillbox.ru/course/autotesting-javascript/
JavaScript-разработка|Node.js Серверное программирование на JavaScript|GeekBrains|15000|2021-06-16|1 мес.|https://gb.ru/courses/11
JavaScript-разработка|React. Разработка сложных клиентских приложений|HTML Academy|25900||2 мес.|https://htmlacademy.ru/intensive/react
JavaScript-разработка|Node.js Серверный JavaScript|LoftSchool|33800|2021-06-28|1.5 мес.|https://loftschool.com/course/nodejs
JavaScript-разработка|Angular|Skillbox|23100|2021-06-16|3 мес.|https://skillbox.ru/course/angular/
JavaScript-разработка|JavaScript. Уровень 2 Продвинутый курс|GeekBrains|15000|2021-06-15|1 мес.|https://gb.ru/courses/83
JavaScript-разработка|Node.js. Разработка серверов приложений и API|HTML Academy|24900||2 мес.|https://htmlacademy.ru/intensive/nodejs
JavaScript-разработка|React.js Разработка веб-приложений|LoftSchool|31200|2021-08-09|1.5 мес.|https://loftschool.com/course/react
JavaScript-разработка|Фреймворк Vue.js|Skillbox|21000|2021-06-16|3 мес.|https://skillbox.ru/course/vue-js/
JavaScript-разработка|ReactJS Профессиональная frontend-разработка|GeekBrains|15000|2021-06-16|1 мес.|https://gb.ru/courses/119
JavaScript-разработка|JavaScript. Профессиональная разработка веб-интерфейсов|HTML Academy|21900|2021-09-21|2 мес.|https://htmlacademy.ru/intensive/javascript
JavaScript-разработка|JavaScript-фреймворк React.js|Skillbox|21000|2021-06-16|3 мес.|https://skillbox.ru/course/react-js/
JavaScript-разработка|Базовый курс JavaScript|GeekBrains|15000|2021-06-14|1 мес.|https://gb.ru/courses/139
